"item_id","dataset_id","status","file_name","creation_date","update_date","resolved_wos_ut"
CTNG2026020016466707,DATA2026020034944045,A,CTNG2026020.XML,2026-08-20 06:09:00.761,2026-08-20 06:09:03.663,WOS:001335864800001
CTNG2026020016466661,DATA2026020034943995,A,CTNG2026020.XML,2026-08-20 06:08:59.915,2026-08-20 06:09:03.755,WOS:001656486200008
CTNG2026020016466736,DATA2026020034944112,A,CTNG2026020.XML,2026-08-20 06:09:00.899,2026-08-20 06:09:05.339,WOS:001520636700005
CTNG2026020016466751,DATA2026020034944128,A,CTNG2026020.XML,2026-08-20 06:09:01.068,2026-08-20 06:09:05.846,WOS:001646748400001
CTNG2026020016466769,DATA2026020034944146,A,CTNG2026020.XML,2026-08-20 06:09:01.380,2026-08-20 06:09:06.448,WOS:001646473900001
CTNG2026020016466778,DATA2026020034944155,A,CTNG2026020.XML,2026-08-20 06:09:01.559,2026-08-20 06:09:07.423,WOS:001638893900001
CTNG2026020016466734,DATA2026020034944109,A,CTNG2026020.XML,2026-08-20 06:09:00.884,2026-08-20 06:09:04.508,WOS:001640436100001
CTNG2026020016466697,DATA2026020034944035,A,CTNG2026020.XML,2026-08-20 06:09:00.581,2026-08-20 06:09:04.625,WOS:001645773400001
CTNG2026020016466708,DATA2026020034944046,A,CTNG2026020.XML,2026-08-20 06:09:00.778,2026-08-20 06:09:04.796,WOS:001651018600002
CTNG2026020016466691,DATA2026020034944029,A,CTNG2026020.XML,2026-08-20 06:09:00.476,2026-08-20 06:09:04.928,WOS:001681525300002
CTNG2026020016466744,DATA2026020034944121,A,CTNG2026020.XML,2026-08-20 06:09:00.960,2026-08-20 06:09:05.456,WOS:001646471700001
CTNG2026020016466756,DATA2026020034944133,A,CTNG2026020.XML,2026-08-20 06:09:01.144,2026-08-20 06:09:05.564,WOS:001646077000001
CTNG2026020016466753,DATA2026020034944130,A,CTNG2026020.XML,2026-08-20 06:09:01.100,2026-08-20 06:09:05.852,WOS:001638511600001
CTNG2026020016466730,DATA2026020034944096,A,CTNG2026020.XML,2026-08-20 06:09:00.869,2026-08-20 06:09:05.872,WOS:001646721000001
CTNG2026020016466760,DATA2026020034944137,A,CTNG2026020.XML,2026-08-20 06:09:01.215,2026-08-20 06:09:06.453,WOS:001648633300001
CTNG2026020016466748,DATA2026020034944125,A,CTNG2026020.XML,2026-08-20 06:09:01.023,2026-08-20 06:09:05.245,WOS:001646896600001
CTNG2026020016466750,DATA2026020034944127,A,CTNG2026020.XML,2026-08-20 06:09:01.052,2026-08-20 06:09:05.783,WOS:001595350700001
CTNG2026020016466768,DATA2026020034944145,A,CTNG2026020.XML,2026-08-20 06:09:01.356,2026-08-20 06:09:05.801,WOS:001640012600002
CTNG2026020016466771,DATA2026020034944148,A,CTNG2026020.XML,2026-08-20 06:09:01.435,2026-08-20 06:09:06.196,WOS:001614380900001
CTNG2026020016466766,DATA2026020034944143,A,CTNG2026020.XML,2026-08-20 06:09:01.318,2026-08-20 06:09:06.509,WOS:001643873300001
CTNG2026020016466777,DATA2026020034944154,A,CTNG2026020.XML,2026-08-20 06:09:01.540,2026-08-20 06:09:06.695,WOS:001646814300001
CTNG2026020016466757,DATA2026020034944134,A,CTNG2026020.XML,2026-08-20 06:09:01.162,2026-08-20 06:09:05.943,WOS:001596087700001
CTNG2026020016466747,DATA2026020034944124,A,CTNG2026020.XML,2026-08-20 06:09:01.010,2026-08-20 06:09:06.015,WOS:001648796900003
CTNG2026020016466749,DATA2026020034944126,A,CTNG2026020.XML,2026-08-20 06:09:01.037,2026-08-20 06:09:06.267,WOS:001646473900001
CTNG2026020016466703,DATA2026020034944041,A,CTNG2026020.XML,2026-08-20 06:09:00.694,2026-08-20 06:09:06.352,WOS:001602802000001
CTNG2026020016466764,DATA2026020034944141,A,CTNG2026020.XML,2026-08-20 06:09:01.281,2026-08-20 06:09:06.371,WOS:001646798700001
CTNG2026020016466761,DATA2026020034944138,A,CTNG2026020.XML,2026-08-20 06:09:01.229,2026-08-20 06:09:06.807,WOS:001638977200001
